리뷰,예측,확률
잘쉬다 왔습니다,긍정,0.9359
역시 방음이 문제 였습니다 중문도 없는 상태에서 시 퇴실인데 시부터 청소때문에 복도에서 소음이 많이 나서 전주 놀러온 사람으로써 늦게까지 놀고 퇴실 시간 쯤 나가려고 햇는데 일찍 깨버렷네요,긍정,0.8822
덕진공원쪽에서는 무조건 스마일만 이용 합니다 몸이 많에 피로한날에는 안마의자 있는 객실 이용 하구요 직원분들도 너무너무 친절 합니다 방음도 잘되는거 같아서 더더욱 좋아요,긍정,0.9058
이용시간이 덜 끝났는데도 객실 전기가 나갔습니다 잠깐 꺼진 줄 알고 조명 버튼을 여러번 눌렀는데도 켜지지 않았네요 퇴실 분 전이었는데도 불이 꺼지다뇨 입실도 입실 시간 분 넘어서 들어온 거였습니다 제가 저녁에 대실했습니다 입실 할 때 사장님께서 왜 대실을 했냐는 듯한 혼잣말을 하시던데 기분이 나빴습니다 여자 사장님이신 것 같은데 좀 더 친절하게 부탁드립니다,긍정,0.7742
전주에서 숙박이 필요하면 무조건 호텔루고로 옵 니다 주차 발렛도 해주시고 단점이 딱히 없습니 다 방음도 훌륭해요 되게 청결하고 금연방이라서 냄새도 나지 않 고 모텔 호텔느낌보다 요즘의 감성을 지닌 숙소인 거 같습니다 랜덤방을 이용했는데 스탠다드가 아닌 좋은방 주셔서 감사합니다 변기와 씻는곳이 분리되어있으며 디럭스방은 가 있어서 너무 분위기 좋았습니다 앞으로도 무조건 호텔루고에서 숙박할거에요 잘 쉬다갑니다,긍정,0.8899
큰 티비로 편하게 쉬다가 갑니닼콯근방에 있는 숙소보다 좋고 잘 놀다가 가는거 같아서 좋습니다 굿,긍정,0.9205
연박중입니다 만족합니다,긍정,0.9323
카운터에 계신 사장님 너무 친절하셔서 좋아요 룸 컨디션도 늘 그렇듯 청결하고 깔끔했습니다 예약한 일반방이 없어서 업글해주셨는데 스타일러에 피씨방 컴퓨터 대라서 잘 놀고 갔어요코로나시국에 데이트로 추천해요,긍정,0.9008
일단 새로 지어진지 얼마 안되서 그런지 건물 내부도 아주 깔끔하고 객실내부도 깔끔했어요 어메니티도 준비되어있고 층 로비에 첨단 소독 기계도 있어서 코로나의 불안감도 덜수있었어요 시 좀 넘어서 체크인했는데 코로나로인해 새벽 시부터 다음날 시까지는 직원근무 하지않는다는점 주의하세요 수영장도 작게 있다고 하던데 하루 잠만 자기엔 가성비 좋다고 생각해요,긍정,0.8546
침구류에 온갖 얼룩에 피자국까지 심했어요,긍정,0.9235
진짜 엄청 편하고 좋습니다 청소도 엄청 깨끗하게 잘 되어있고 일단 방음이 진짜 잘 되어있어서 시끄럽거나 그러지도 않아서 정말 좋아요 전체적으로 청결하고 쾌적한 편이며 깔끔합니다 이 가격에 이렇 편하게 숙박할수 있는 곳 정말 드물다고 생각해요 침대도 편하고 배게도 개 있어서 넉넉하고 너무 좋습니다 시원하게 선풍기나 에어컨 틀고 넷플 보면서 치맥한잔 하고 자면 진짜 호텔 하나도 안 부러워요 테이블이랑 의자도 있어서 배달음식 시켜서 먹기도 좋구요 무엇보다 여기 사장님 너무 친절하세요,긍정,0.8988
전북대는항상여기서만자요 제일깨끗하고 사장님너무친절하시고음료수랑 마음대로가져가실수있어요 그리고비품잘되어있고화장실도깨끗하고 수압도넘좋아요 덕진동가면 여기가제일좋고제일깨끗합니다 이용해보세요,긍정,0.9108
전주 고속터미널 에서 가깝슥니다 객실도 다양하게 준비되어 있어 아무거나 선택해도 후회하지 않을것 같습니다 주차장이 넓어서 주차하기 정말 편하고 좋습니다 객실은 혼자 숙박을 하는거라 디럭스를 많이 이용 하는데 넓고 조용하고 넷플릭스 등등 다 나오고 좋습니다 또 사장님과 직원분들이 진짜 친절하고요 조식도 나오는데 직접 먹어보진못했습니다 주의에 롯데 백화점과 이마트가 가까이 있어서 좋습니다전주에 자주 출장을 오는데 앞으로도 계속해서 애용하야 겠습니다,긍정,0.886
두시체크인 다섯시간 대실이용이었는데 한시간 늦춰서 들어가도 되냐고 전화하고 세시 쯤 갔는데 청소가 안되어있어 기다렸음 한 네시간 이용중에 자다가 일곱시에 전화울려서 후다닥 나왔는데 한시간 늦게 이용시작했는데 한시간 더 늦춰주지싶어서 아쉬웠음,긍정,0.8697
나쁘지 않았어요 디플 잘 보고가요 서비스 친절은 좀 아쉽네요,긍정,0.9201
원래 시설 그저 그래도 좋다고 리뷰써주는데 정말 리뷰 좋게 써줄 수가 없네요 늘로 예약하고 갔는데 프론트에 사람이 없더군요 전화번호로 전화하니 내려갈게요 해놓고 분을 더 기다린 것 같네요 분을 기다렸더니 하는 말이 안 좋은 방만 남았다며 길 건너 노이도 사장님이 같다고 업그레이드 해드릴테니 노이로 가시라고 그래서 노이로 갔는데 업그레이드 라더니 업그레이드 맞는 건가 싶었습니다 카드키는 인식이 안되는지 불도 안켜지는 방이었네요 내려가서 상황 말했더니 분을 기다려도 안켜지냐는 말이 말인가요 누가 현관앞에 서서 분을 기다립니까 불이야 제가 켜면 되니까 크게 불편함 없으니 그냥 쓰자 맘먹고 올라와서 짐을 풀며 방을 보는데 저는 사용도 안 하는 컴퓨터가 켜져있었어요 본체 돌아가는 소리 거슬려서 컴퓨터 먼저 꺼버렸네요 바닥엔 머리카락이 뭉텅이로 돌아다니고 샤워실엔 최소한 선반은 설치 해주셔야 하는 거 아닌가요 커다란 통도 아니고 작은 통으로 바닥에 놔두다니요 침대는 수평이 아닌 다리쪽을 약간 올라가게 해두셨던데 일부러 그러신 건지 허리가 푹 꺼져서 좀 힘들었네요 베개엔 긴 머리카락 침대보를 분명 갈았을텐데 베개 아래쪽으로 머리카락들이 쌓이고 쌓여있고 씻으려고 어메니티 봉투 열었더니 썼던 치약이 들어있네요 진짜 어이가 없어서 사진도 첨부합니다 출장 다니며 많은 숙박시설 이용했는데 이런 곳 처음입니다 업그레이드 라더니 이게 업그레이드면 늘은 대체 어떤 방인지 상상도 안 되네요 다음은 없을 것 같네요,부정,0.0406
약간 오래된 시설이긴 하네요 그래두 방은 따뜻하고 친절하고 좋아요 바닥이 청소가 안되있어서 일 연박이었는데 수건으로 닦아보니 넘 지저분 그것빼곤 좋았어요,긍정,0.9049
일단 너무 춥습니다 전기장판틀어도 공기가추워요 안에 텐트라도 있었음 할정도 컴퓨터 글카는 인데 드라이버를 깔아도 채팅창이 깨져서안보일정도로 화질이 안좋습니다 아마 모니터가 게임용이아니라 티비수준인듯해서그런듯하네여,긍정,0.8811
너무 너무 좋습니다 적극 추천합니다 꼭 찾아가세요,긍정,0.9303
출장중에 잠시 피곤해 한숨자고가려고 대실 이용했는데 커피숍가는것보다 좋은선택이었어요 주차도되고 대실시간도 시간으로 넉넉한데 저렴한 가격에 너무 잘 이용했습니다,긍정,0.9055
침대가 너무좋네요 푹신푹신 라텍스 주인아주머니도 너무 친절하고 객실도 쾌적해요,긍정,0.9222
호텔 아닙니다 준호텔 아닙니다 모텔입니다 바닥에 머리카락이 어질러 있었고 화장실은 하수구가 안 뚫려 있어서 샤워하다 바닥에 물차서 욕조에 들어가서 샤워했어요 사장님 불러서 말씀드리니 해결해주시더라구요 사장님은 친절하셨어요 저는 조식이 있다고 해서 갔는데 코로나때문에 조식 안한다고 하시더라구요 그럼 어플에 조식 안한다고 꼭 표기 부탁합니다 저는 조식때문에 이 곳을 선택한거였거든요 장점은 침구가 정말 좋습니다 마약입니다 제가 화났던 것들을 잊을 정도로 좋습니다 그리고 난방이 엄청 잘 됩니다 저는 이때까지 후기 숫자와 별점을 믿고 선택하였는데 이곳은 저의 고정 관념을 깨게 해주었습니다 비지니스를 위해 잠만 잔다면 추천합니다 근데 그러실거면 저는 이 곳보다 더 저렴한 곳을 가겠습니다 사장님 깨끗하게 청소 좀 깔끔하게 부탁합니다 이 후기 보시고 많이 달라지셨음 좋겠습니다,부정,0.0407
주차공간 적습니다 외부에 주차해놓고 들어갔어요 주말에 원으로 사용했습니다 허름한건 둘째치고열쇠사용 들오가자마자 건물 자체에 은은하게 담배냄새가 나고 방에 들어가서도 담배냄새납니다 스타일러가 있어서 도착하자마자 바로 옷 넣어놨어요 냄새배기니까 그리고 침대에 유리조각같이 작은 알맹이들이 있어서 뒤척이면서 몸에 상처났어요 씻을때 따갑 화장실안에 재떨이가있어서 불키면 환풍구로 냄새가 계속 들어오더라구요 불 안키고 씻었습니다 흡연자한테는 좋은데 비흡연자한테는 별로인,부정,0.2757
전북대 근처라 위치도 좋고 숙소 주위에 먹을 것도 많아서 자주 이용하는 편입니다 직원분들 친절해요 근데 종종 넷플릭스가 연결이 안되어있어요 카운터에 문의하면 바로 연결 해주시지만 이번에는 귀찮아서 그냥 티비만 봤어요 룸 컨디션도 깔끔하고 다 좋은데 한가지 아쉬운 점은 테이블이 낮아서 간식거리 사와서 먹을 때 넘 불편하다는 점 테이블 높이만 높았으면 좋겠습니당 주차는 지하에 하면 되는데 만차시에 차를 돌려서 못빼요 후진으로 빠져나와야한다는 거 참고하세요,긍정,0.8785
곰팡이에디션 방을 배정받았다 음,긍정,0.9202
좋습니다 편안합니다,긍정,0.9369
다 괜찮은데 담배 냄세가 너무 나요,긍정,0.9262
친절 청결 방 넓고 까지 최고,긍정,0.9337
신시가지에서는 그래도 제일 시설이 깔끔한곳 같아요 돈 조금 더주고 쾌적하게 이용하고싶으시면 여기 추천드릴게요 층에 커피있는데 먹을만 하더라고요 사장님도 친절해서 재방문의사있습니다,긍정,0.9063
친절하고 깨끗하고 시설도 좋고 너무 좋았습니다 새건물 냄새가 나긴하는데 연락했더니 방향제도 주시고 친절하게 응대해주셔서 좋았습니다 새건물냄새만 빠지면 완벽할것같습니다,긍정,0.9031
음방에 슬리퍼도 없고 벽에 방이 약간 추덥라구요,긍정,0.9179
편하게 조용햐게 쉬있어요,긍정,0.9355
평이 왜 좋은지 모르겠어요 진짜 가격만큼 퀄리티가 낮은 모텔이었습니다 청결은 좋았지만 수압낮고 따듯한물 안나오고 내선전화 고장나있고 전기장판 고장나 있고 게임가능 라고 해서 갔더니 윈도우 도 안되서 게임돌아가지도 않고방음도 안되서 옆방이 방여는데 저희방 문 열린줄 알고 식겁했습니다 관리좀해주세요,긍정,0.8257
연박햇더니 추가비용 만오천원달라더군요 보통다른대는 만원받는데 그리고 처음에예약한방이없엇는지 더좋은방으로주신다고해서 짐두고 바로나왓습니다 전화가와서 그방에 보일러가터져서 공사를해야한다는데 짐을빼서 다른방으로놓겟다고 그러려니햇죠 저희가볼땐 대실한방이 나와서 원래방으로 바꿔주신듯한느낌인데 별로였어요 진짜공사를해야해서 방을비워달라고햇을까요 글고새벽에 시쯤 전화가와서받으니 잘못전화햇다네요잠다깨우고 뭐하는짓인지 아무튼 별로였어요,부정,0.0416
너무 만족합니다 야시장도 근처이고 한옥마을도 걸어서 분이면 됩니다 숙소도 깔끔하고 무엇보다 사이다 무료에 친절함도 좋고 주차공간 부족시 옆 주차장 비용도 지불 해주십니다 숙박 고객은 담날 퇴실후에도 주차 시간 조금 더 이용 가능핮니다,긍정,0.8931
시간도안되었는 나가라구하네요,긍정,0.9291
일반실인데 트윈침대를 붙여놓았더라구요 자는데 불편했어요 그래도 싼가격인것은 만족합니다,긍정,0.9156
이제껏 가본 숙소중에 정말 최악이었어요 에어컨 청소한지가 년 넘은것같음 냄새나서 보니까 필터가 누렇게 변색되고 먼지가 수북하게 앉아있고 벌레가 날라다니고 진짜 과관임,긍정,0.8825
좋습니다 전북대 근처에 있는 숙박업소 중에 가장 괜찮습니다 자주 찾아가는 곳이기도 하고 깨끗하고 친절하십니다 주차 자리도 넉넉하고 좋습니다 앞으로도 애용하겠습니다 츄천해요,긍정,0.9155
방이 깔끔하고 좋았습니다,긍정,0.9369
진짜 최고에요 사장님 친절하시고 방도 넘 조아요 근데 화장실이 반투명입니당,긍정,0.9193
가성비 좋은 방입니다,긍정,0.9314
월일 화요일 여기어때를 통해 역시나 모텔에 숙소 예약을 했습니다 한 달에 번 정도 전주 출장을 가기에 항상 모텔을 애용합니다 항상 친절하신 사장님 이제는 가족 같이 느껴지며 제가 체크인 할 시 좋은 리뷰 남겨줘서 고맙다고 말씀 하시는데 제가 더 고맙죠 평일 기준 만 원대로 숙박을 할 수 있는 이 가성비항상 고맙게 생각하고 있습니다 요새 배달앱 음식 주문을 해도 만 원이 넘는데 박 숙박료가 만원 대라니 이 얼마나 감사한 곳입니까 이렇게 저렴한 숙박료이지만 객실내 사용 물품 불편함이 없습니다 건물의 노후화는 있지만 숙박하는데엔 문제가 되지 않습니다 오늘월일 전주 출장이 있어 역시나 모텔 예약합니다 항상 고맙습니다,긍정,0.8999
우선 전주여행와서 잠만 잠시 잘꺼라 저렴한 곳으로 잡았어요 후기가 괜찮아서 예약했었는데 우선 위치가 정말 시내길 가운데 있어요 단점이자 장점이겠지만 도보로 이용하시는 분들은 좋을 것 같아요 하지만 차로는 매우 불편했어요 엄청 좁고 주차장이 정말정말 협소했어요 그리고 객실 안 위생은 쫌 별로였어요 벌레 자국은 엄청많은게 기본이고 침구류 화장실 등 깨끗한 편은 아니였어요 조금 찝찝했어요 방안에 들어가자말자 냄새가 많이 났고 수건도 그렇구요 내부도 많이 오래된 게 느껴지실꺼에요 엄청 옛날집 같다 생각하시면 될것같아요 화장실도요 뜨거운물도 엄청 오래 틀어나야 나오고 건조하고 추웠어요 아쉽지만 재방문의사는 없어요 정말 딱 잠만 잘 분들만 이용하세요,부정,0.0416
객실이 드럽고 이불은 담배빵에 찢어저있으며벽에 구멍들은 와이리 많은지 커튼은 왜 창문위에 시공이 안되서 단열 소음 분리도안되고 문열면 주차장보이고 방음도 와이리안되는지 새벽에 계속 깨고 넘나 아쉽네요,긍정,0.8582
위치도 좋고 깨끗하고 좋았습니다 다음에 또 기회가 된다면 다시 방문할 의향 있습니다 그리고 사장님도 친절하시고 무엇보다 조식 나오는게 너무 좋았어요 출장 있으신분들께 정말 추천합니다,긍정,0.9142
방을 두번이나 바꿨습니다 처음 배정받은 방은 매트에 커다란핏자국이 있었어요 차마 사진을 올릴수없을만큼 민망했습니다 매트자체에 손바닥만한 크기로 묻어있었는데 시트로 덮어놨더라구요 그걸 모를거라고 생각한건지 시트에 비칠만큼 진한핏자국이였는데참으로 놀라운 경험이였습니다 두번째방은 욕실변기옆이 물바다였는데 에어컨배수관에 문제가 생겨서 그렇다고하더군요 핏자국때문에 방을 바꾼건데 또 이런방을 주는 이유를 모르겠습니다 냉장고문쪽에도 문제가 있었고 냉장고안에는 김치냄새가 진동하더군요 침대시트에 알수없는 털도 몇가닥있었습니다 그래서 결국 방을 또 교체했는데 그나마 양호한방이였지만 침대시트에 머리카락이 또 있더군요 여긴 객실정비에 문제가 있는것같아요 청소하시는분들은 여기가 무슨 모텔급인줄아시는지 여기저기 지워지지않은 얼룩들이 있었습니다 생긴지 오래되지않은 곳이라 기대많이했는데 여기가격의 반값도 안되는 게스트하우스가 더 깨끗합니다 아무리 오래된 호텔도 청결하게 관리만 잘하면 제값주고 가도 아깝지 않은데 여긴 벌써 이렇게 관리가 엉망이네요 이런곳에 가서 굳이 머물고 싶을까요 전주에 자주 방문하고 여러곳을 머물면서 경험해보고 있는데 이곳의 경험은 처음이자 마지막이 될 것 같아요 핏자국의 트라우마가 꽤 오래갈듯 합니다,부정,0.0403
좋아요 깨끗하고 다음에도 이용할께요 좋아요 깨끗하고 다음에도 이용할께요 좋아요 깨끗하고 다음에도 이용할께요 좋아요 깨끗하고 다음에도 이용할께요 좋아요 깨끗하고 다음에도 이용할께요 좋아요 깨끗하고 다음에도 이용할께요,긍정,0.9186
깔끔하고 가성비 갑이었어요,긍정,0.9324
직접 청소 한번은 하시면 되요,긍정,0.926
서신동 주변에 방문할 때마다 이 곳을 이용하는 것 같아요 객실은 깔끔하고 아늑한 스타일이에요 위치가 너무 좋아서 매번 만족 스럽습니다 그리고 주차장이 넓어서 좋아요 다음에도 또 방문하겠습니다,긍정,0.9183
청결상태가 별로 였어요 베개에 머리카락 있구 침구류에도 머리카락이 청소를 한건지 의문이 들 정도 새벽내내 방음도 잘 안되고 그거 말고는 뭐,긍정,0.881
너무 좋았어요 또 올게요,긍정,0.9385
화장실문도잘안닫쳤어요,긍정,0.9264
호 사용했는데 중화산동에서 간곳중에서 제일 깨끗하고 좋았습니다 메트릭스도 푹신하고 스타일러 피시대 퓨리케어공청기까지 다있더라구요 아침에 무료로주시는 조식도 종류가 여러가지 많았구요 사장님도 친절하시네요 나올때 분리수거랑 한다고 했는데 잘 치웠는지 모르겠네요 앞으로 자주 이용하겠습니다,긍정,0.8971
화장실에 화장지가 없네요 새벽 시 입실했는데 시부터 시까지 옆방에서 싸움나고 시끄러워 한숨도 못잤네요 그런일 있으면 근처 방들 다른곳으로 옮겨주거나 빠른대처하든지 해야지 시간동안 고성방가에 쿵쾅거렸는데 환불까진 아니더라도 아무 조치없었던게 잘 이해 안되네요,긍정,0.8687
전주 호텔아지트 신시가지점 리뷰 전주 여행 중 호텔아지트 신시가지점에서 숙박했는데 가격 대비 만족도가 높은 호텔이었습니다 우선 위치가 좋습니다 전주 신시가지에 위치해 있어 주변에 맛집과 카페가 많고 전주한옥마을까지 차로 분 정도 걸려 관광하기에도 편리했습니다 객실은 깔끔하고 모던한 분위기로 꾸며져 있으며 침구도 푹신해서 숙면을 취하기 좋았습니다 특히 욕실이 넓고 깨끗해서 만족스러웠고 어메니티도 기본적으로 잘 갖춰져 있었습니다 와 와이파이도 잘 작동해서 머무는 동안 불편함 없이 이용할 수 있었습니다 조식은 간단한 토스트와 커피 정도로 제공되지만 주변에 유명한 조식 맛집이 많아 크게 아쉽지는 않았습니다 직원들도 친절해서 체크인과 체크아웃 과정이 매끄러웠고 주차 공간도 넉넉해 차량 이용 시에도 편리했습니다 전반적으로 깔끔한 시설과 좋은 접근성을 고려할 때 가성비 좋은 호텔이라고 생각합니다 전주에서 편안한 숙소를 찾는다면 추천할 만한 곳입니다,긍정,0.9045
늦게 입실해서 걱정했지만 주차도 좋았고 사장님도 친절햌어요,긍정,0.919
주차장 불편하고 화장실 고장난 게 많았어요 고치면 좋겠네여,긍정,0.92
잘쉬다가 갑니다 조용하고 시설부분이 깔끔했습니다 침대도 좋고티비도 좋고화장실이 깔끔했습니다 전체적으로 깔끔하고 청결했습니다 주변 먹을때도 있고근접성이 좋아 다음에 또 이용할께요 감사합니다,긍정,0.9133
침대가 아주 좋습니다 시몬스,긍정,0.932
그저 그랬어요 외풍이 들어와서 추워 뒤질뻔햏네요 만원 이만원 더주고 다른곳을 갈껄 그랬습니딘,긍정,0.905
담배냄새 때문에 있는 내내 두통이 느껴졌어요 창문을 열고 환기해봐도 냄새가 안빠지고 특히 화장실에서 너무 심하게 났어요 화장실에 처음에 수건걸이에 걸어져있는 수건은 누가 사용하신것처럼 구겨져서 비스듬히 대충 걸려 있고 벽에 죽은 나방이 붙어있어서 깜짝 놀랬네요 올라가는 엘레베이터에서 컴퓨터는 수리중이라 사용 못할수있다는 안내문 보고 감안했으나 티비 조차도 사용이 안되어 답답했습니다 프론트는 친절하셨으나 객실은 관리가 필요할거같아요,부정,0.1886
샤워기에 녹슬어서 별로였어요,긍정,0.9282
조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따,긍정,0.879
시설도 오래되고 청결상태도 엉망입니다 단지 직원분이 친절하셔서 감안하고 숙박했네요 너무 엉망이였어요,긍정,0.9123
우선 여기 숙박했을때 음식 주문이 안됬었습니다 어쩔 수 없는 부분이었지만 조금 아쉬웠습니다 처음 들어갈때 금연 서약서를 들이밉니다 실내흡연시 벌금을 부과하겠다며 흡연여부까지 물어보시더라고요 그래서 아 실내흡연이 안되니까 객실내부는 청결하겠구나 싶었지만 객실안에 들어가자마자 엄청난 담배냄새가 제 코를 찔렀고 그 냄새의 근원은 침대와 이불 그고 베개였습니다 세탁을 하지 않는것인지 아니면 교환을 하지 않는것인지 세탁을 해도 지워지지 않을만큼 담배냄새가 지독하게 밴 이불을 사용하는것인지 금연서약서를 작성한 곳도 처음이었지만 이렇게나 담배냄새가 심한 곳도 처음이었습니다 온 몸과 머리 옷에 담배냄새가 배었고 잠을 자려고 누워도 담배냄새에 머리가 어질어질했습니다 개선됬으면 좋겠습니다,부정,0.0395
오랜만에 들렸는데 아쉬운 부분이 많네요 넷플릭스도 중복 사용으로 볼 수도 없었고 수건에서 냄새도 나고 처음 환경하고 많이 달라진 것 같아 아쉽습니다,긍정,0.8969
주차장이 넓고 객실도 넓고 쾌적해요,긍정,0.9337
여기 머무르실분들은 잘고려해보시고 머물기를 추천드립니다 청결상태가 매우좋지않아 월에도 창문을열어놓지도 않은상태였는데 객실내에 모기가있어 잠을 청할수없었을뿐더러 샤워를하려해도 바디워시도 구비도 안되어있었고 멀티탭도 고장이 나있는상황이였습니다 객실 관리를 대체 어떻게하는건지 제가 느끼기에는 전혀 신경쓰기는커녕 관리도 하지않는걸로 판단됩니다 가격은 저렴하지만 두번다시 무료라해도 묵지않을 숙소로 저한테는 인식되었네요 직원들이 객실 컨디션에대해 심각성을 깨우치지못하는이상 문제는 계속 나올거같습니다,부정,0.0512
수건은 냄새나고 욕조는 청소상태엉망여서 물때둥둥떠다녀서 몸좀담글랫더니 물때 덩어리떠돌아다녀서 이용못함사진속에보면 물때돌아다님나중에 더있었는데 그건안찍음,긍정,0.8866
방을 두번이나 바꿨습니다 처음 배정받은 방은 매트에 커다란핏자국이 있었어요 차마 사진을 올릴수없을만큼 민망했습니다 매트자체에 손바닥만한 크기로 묻어있었는데 시트로 덮어놨더라구요 그걸 모를거라고 생각한건지 시트에 비칠만큼 진한핏자국이였는데참으로 놀라운 경험이였습니다 두번째방은 욕실변기옆이 물바다였는데 에어컨배수관에 문제가 생겨서 그렇다고하더군요 핏자국때문에 방을 바꾼건데 또 이런방을 주는 이유를 모르겠습니다 냉장고문쪽에도 문제가 있었고 냉장고안에는 김치냄새가 진동하더군요 침대시트에 알수없는 털도 몇가닥있었습니다 그래서 결국 방을 또 교체했는데 그나마 양호한방이였지만 침대시트에 머리카락이 또 있더군요 여긴 객실정비에 문제가 있는것같아요 청소하시는분들은 여기가 무슨 모텔급인줄아시는지 여기저기 지워지지않은 얼룩들이 있었습니다 생긴지 오래되지않은 곳이라 기대많이했는데 여기가격의 반값도 안되는 게스트하우스가 더 깨끗합니다 아무리 오래된 호텔도 청결하게 관리만 잘하면 제값주고 가도 아깝지 않은데 여긴 벌써 이렇게 관리가 엉망이네요 이런곳에 가서 굳이 머물고 싶을까요 전주에 자주 방문하고 여러곳을 머물면서 경험해보고 있는데 이곳의 경험은 처음이자 마지막이 될 것 같아요 핏자국의 트라우마가 꽤 오래갈듯 합니다,부정,0.0403
위치 좋고 전화했을때나 로비에 계신분이나 정말 친절하시고 저렴했지만 녹슨 샤워기랑 화장실 손잡이 손도 못댈정도라 그냥 문 열고 씻었어요 숙소 상태가 이런건 태어나서 처음 뭐 묻어있는 침대시트 벌레는 없었지만 청결이 꽝이라서 다음엔 안 갈 것 같아요,긍정,0.8805
체크인 체크아웃 시간이 너무 좋아서 자주 이용할것 같습니다,긍정,0.9226
주차장이 양쪽으로 있는거 같은데 건물오른쪽편에는 라인이 넓어서 주차하기 편했구요 로비에 있는 라면 끓여먹어보고 싶었는데 못 먹어서 아쉽네요 객실 내부 화장실깨끗했고 침구류 매트리스도 푹신하고 이불 도 느낌 좋았습니다 또 종류가 많으니 보고 싶었던것들 골라볼수있어서 좋아 요 근데 일반 방송은 어떻게 보는지 몰라서당황했었는데 외부입력으로 넘어가면 볼 수 있어요 그리고 물은 개가 있는데 음료수는 없습니다 드실분들은 미리 사가시던지 음식주문하실때 주문하셔야 할 듯 그래도 시간도 길고 깔끔해서 푹 잘 쉬었어요,긍정,0.8586
방청소 안되어 있고 침구류 교체 안하고 화장실도 엄청 더러워요만원만 받으면 될 듯,긍정,0.9043
전기장판 켜서 침대는 덥고 바닥하고 공기는 춥고 감기걸려 갑니다 시분부터 따뜻해진다고 하던방은 밤새추워 잠도설치고 방도 지저분하고 다시는 여기서 숙박안합니다,긍정,0.9009
청결이 잘 안되구 방음도 잘안되네요,긍정,0.9257
늘 전주오면 묵는 곳인데사장님은 친절하세요근데 바닥 곳곳 머리카락에 먼지가 수북하더라구요또 너무 건조해서 밤새 고생했습니다의류 스타일러가 필요한게 아니라 가습기가 필요한거 같아요,긍정,0.8961
시설 가격 친절 박자인곳,긍정,0.9284
화장실이 정말 깔끔하고 좋았어요 인테리어도 너무예쁘고 안마의자있는 방으로 하길 잘했네요 만족해서 다음에 또 올거 같아요,긍정,0.9172
호 이용했는데요 숙소에 롤 하러 예약했는데 롤 실행했더니 뱅가드 오류 뜨면서 뱅가드 설치하고 시스템 재시작 해야한대서 재시작하면 설치한 뱅가드 사라져있음 무한반복 결국 못하고 시간낭비하고 왔습니다 이거만 해결되면 자주 애용할 것 같은데 슬픕니다 사장님 해결 부탁드려요 뱅가드 좀 깔아주십쇼 화장실에는 곰팡이 냄새가 좀 나지만 그래도 괜찮았습니다 객실 청결도도 나쁘진 않았는데 한 수건에 피가 묻어있어서 사용하지 못했습니다 그래도 저렴한 가격에 잘 이용하고 갑니다,부정,0.0546
오랜만에 늘에 방문했습니다 카운터에서 안내해주시는 분이 바뀌셨더라구요 처음에 배정 받은 방이 조금 작고 테이블이 없어 점심을 시켜먹으려했던 저희는 룸교체를 요청드렸습니다 그랬더니 바로 룸을 업그레이드 해주셨어요 처음 방이랑 크기는 비슷한데 테이블이 있어서 좋았습니다 아쉬운건 다른방이 닫힐때마다 저희 방 안에 있는 이중문이 자꾸 흔들거려서 깜짝 깜짝 놀라게 되더라구요 방이 너무 밝아서 영화를 보려는데 집중이 조금 안되었던것도 있어요 저날은 해가 쨍쨍해서 그랬나봐여 그거빼고는 다 만족했습니다,긍정,0.8422
일연속으로재숙박햇는데 가격도에누리해주시고 잘쉬다 가요 방이따뜻해서좋앗구요 머갖다달라고도 많이햇는데 친절하게 대응해주셔서 감사햇어요 담에 전주올일생기면 꼭찾아올께요,긍정,0.9016
최악의 숙소 화장실 곰팡이 덕지덕지사이트 사진이랑 전혀다름 리모델링 안되어있고 청결 상태 최악입니다 잠만자고 나갑니다,긍정,0.8984
조아요 깨끗하고 침대가 픅신,긍정,0.9317
이벤트로 저렴하게 방을 예약했지만 이불이 찢어져 있고 먼지와 머리카락이 있었으며 바닥 청소가 아쉬웠습니다 발에 머리카락과 먼지가 붙는 정도였습니다 또한 직원분께서 보일러가 고장났다 하였지만 별 상관 없을 것 같아 그냥 자려 했지만 타올 같은 기본적인 것도 구비되어 있지 않고 따뜻한 물마저 안나오는 상태였습니다 새벽이라 환불때문에 문의드리기도 뭐해서 그냥 카운터에 키두고 나왔습니다 싼가격에 그 값을 하는 정도 였습니다,부정,0.0475
대초반 부부 남편이랑 자주 낮잠자러 가요 집에는 애기가있어서 늘 깨끗하구 조아요,긍정,0.9157
편하게 돌아다니려고 짐 맡기려 했는데 사장님이 친절하게 응대해주시고 써져있는대로 침대가 엄청 푹신해서 완전 꿀잠잤어요 방음도 잘되고 화장실도 방도 깔끔해요 덕분에 여행 재밌게하고 잘 쉬다갑니다,긍정,0.9069
오랜만에 지인들과전주 놀려가서 전주큐모텔묵엇습니다 전주역에서 가깝고 전주한옥마을도멀자안습니다 근처에 편의점과 식당들이만습니다 객실상태도 괞찬고 방도조용하니 좋습니다 직원분들도 친절합니다 무엇보다도 가성비좋습니다 다음에전주 놀려오면 다시묵을생각입니다,긍정,0.897
