리뷰,실제,예측
이번에도 잘 이용했습니다 한 가지 아쉬운 건 욕조 샤워기가 고장 나있어 사용하기 불편했습니다 그 점 제외하고는 다 좋았습니다 다음에 또 갈게요,부정,중립
오랜만에 또 재방문 하였는데 잠깐 자고 가는 느낌으로 대실 이용할 수 있어서 너무 좋았습니다 일단 넷플릭스가 기본적으로 로그인되어 있어서 편한 장점과 영화관과 비슷한 스크린으로 영상 시청을 할 수 있다는 큰 장점이 있어서 좋았습니다 화장실도 깔끔하고 담배 냄새가 나지 않아서 좋았네요 스타일러도 구비되어 있어서 냄새가 남아있는 옷들은 스타일러로 처리할 수 있어서 장점 단점이라고는 딱히 없네요 옷도 걸 수 있게 옷걸이가 마련되어 있습니다 다음에도 또 들릴게요,부정,중립
새벽 시정도 일어나 올라와야 해서 시라 대실 하려다 조금이라도 편히 자고 운전하는 게 낫겠다 싶어 반신욕 좀 하고 몇 시간 잔 후에 잘 올라왔어요 더위를 많이 타서 에어컨 바람이 약해 선풍기 있는 방 부탁했는데 들어줘서 감사합니다,부정,중립
들어왔을 때 로비가 진짜 이뻤어요,중립,긍정
지난주 토요일 층 숙박 잘 쉬다 갑니다 주말 잘 애용하는 편인데 있던 모텔을 바꿔보려 첨 가봤습니다 인테리어 청결 냄새 등등 완벽에 갑갑 더군요 티브이도 정말 크고요 아쉬웠던 점만 적어볼게요 침대 매트 아래 나무로 된 거 앉을 때도 이동 때문인지 상당히 불편합니다 맥주 한 잔 마 실려는데 테이블과도 높낮이가 안 맞아서 불편했고요 특히 소파 의자가 게 아닌 개였 으면 좋았을 텐데요 이거 빼곤 괜찮았습니다 다음에 또 들를게요,부정,중립
한 번도 방음에 대해서 불편하다는 생각을 한 적 없었는데 이 번에 방음이 안되어서 다른 방 방음이 안되어서 깜짝 놀랐어요 친절해요 주차장 넓어요 수압 좋아요 방 따뜻해요 한 번도 방음에 대해서 불편하다는 생각을 한 적 없었는데 이 번에 방음이 안되어서 다른 방 방음이 안되어서 깜짝 놀랐어요 친절해요 주차장 넓어요 수압 좋아요 방 따뜻해요 한 번도 방음에 대해서 불편하다는 생각을 한 적 없었는데 이 번에 방음이 안되어서 다른 방 방음이 안되어서 깜짝 놀랐어요 친절해요 주차장 넓어요 수압 좋아요 방 따뜻해요 한 번도 방음에 대해서 불편하다는 생각을 한 적 없었는데 이 번에 방음이 안되어서 다른 방 방음이 안되어서 깜짝 놀랐어요 친절해요 주차장 넓어요 수압 좋아요 방 따뜻해요,중립,긍정
지난주 화요일에도 테라 호에서 잤고 어제도 같은 방에서 잤습니다 일주일 사이에 화장실 타일 공사를 하셨네요 아주 깔끔하고 보기 좋습니다 그런데 침대 옆 전화기 아래의 콘센트를 누가 망가뜨려 놓았습니다 분명히 지난주에 거기에 노트북 코드를 꼽고 노트북을 사용한 기억이 나는데 사장님 수리 부탁드려요,중립,부정
리뷰 쓰고 먼가 찜찜했는데 사진을 안 올렸네요 이용 후 사진이라 죄송합니다 그냥 여기로 정하세요,부정,중립
늦은 시간 가서 반신욕을 못했다는 그래도 꿀잠 잤습니다,긍정,중립
한 달에 한 번 오네요 이번에도 저렴한 스마일로 정했습니다 가성비는 따라올 수가 없네요 리모델링을 해서 그런지 일단 외관도 깨끗하고 내부도 깨끗해요 가끔 화장실 타일이 깨져있긴 한데 그거야 머 프런트에 간단히 먹을 수 있는 커피와 식빵 등이 있어서 아침을 챙길 수 있어요 냉장고에 음료랑 생수가 있어서 하나씩 챙겨 가실 수 있어요 여기 어때 할인받아 원에 숙박했는데 감사할 따름 방에는 스타일러가 있어서 사용할 수 있어요 저는 옷을 챙겨와 안 했지만 땀 내날 때는 침대에는 장판으로 따뜻하네요 리뷰가 길었지만 좋아서요 담에 또 올게요,중립,부정
대체적으로 만족합니다 직원 친절도는 최고입니다 근덕 시설 노후로 히터가 안 나와서 방을 번 바꾸고도 안돼서 그냥 춥게 잤네요,긍정,중립
사정상 엄마 하루 묵으시라고 잡아드렸는데 처음 들어간 방에 변기에 담배꽁초랑 화장지가 들어있는 채로 물이 안 내려간 상태였고 바닥에도 머리카락이 많아서 너무 더러웠다고 하네요 청소에 신경 좀 써주셨으면 좋겠네요,부정,중립
대체로 깔끔하고 무난해요,중립,긍정
사진은 찍지 못했지만 침구도 푹신하고 층에 토스터 얼음 우유 커피 라면 등이 있다는 점이 좋았습니다 다만 라면은 객실에서 취식 불가한 점이 아쉬웠지만 만족합니다 한 가지 더 아쉬운 점은 방음이 잘 안돼요 옆방 야시꾸리 소리 다나요,중립,부정
대체적으로 괜찮은데 라면 먹으려고 포트 열었는데 밥이 들어있고 방바닥에 누가 먹다 남은 과자 찌꺼기 있었습니다 조금 더 신경 써서 청소해 주신다면 괜찮을 거 같습니다,중립,부정
사진과 비슷한데 화장실이 좀 안 좋아요,중립,긍정
코로나가 많이 줄은 추세를 보이고 있어 전주 시민으로서 뿌듯합니다 하지만 지금 시기이니만큼 더욱 조심해야 할 때라고 생각합니다 방역 처리 완료된 곳에서 잘 쉴 수 있어 좋았습니다,중립,긍정
전반적으로 좋아요 대실 시간도 길고 다만 샤워 호스 거는 곳이 헛돌아서 조금 불편했어요,부정,중립
명품 테라스 예약했는데 스타일러스가 있는 줄 알았는데 없는 방으로 주셔서 아쉬웠어요 다른 건 다 마음에 들었습니다,부정,중립
매우 만족 박일 여행 성공,중립,긍정
업무 출장으로 이용했는데 룸 컨디션 가성비 대박이요 프로트 앞에는 조식이 상시 가능하고요 커비도 캡슐 내려서 너무 편하게 먹었어요 방은 담배 냄새 전혀 없고 화장실 침구 모두 깨끗해요 주변이 조용해서 편하게 쉬었어요,긍정,중립
숙소는 깔끔하고 시설도 괜찮았어요 박 이용했는데 첫날 밤실에 자려고 불을 껐는데 불이 안 꺼지더라고요 밤 시에 박의 짐을 모두 챙겨서 다시 다른 방으로 옮겨서 잤습니다 숙소에서 미리 체크했어야 하는 부분인데 점검하지 않은 것 같아 불편했어요 그 외에는 괜찮았는데 배게 너무 높고 자는데 다른 히터 돌아가는 소리가 너무 시끄러워서 담에는 다른 숙소 이용할 거예요,부정,중립
오랜만에 다시 방문했는데 역시 그대로네요 친절하시고 더웠는데 에어컨도 켜주시고 감사해요,중립,긍정
정말 잘 쉬다 갑니다 친절한 프런트 가격 대비 정말 나이스 한 청결상태 편의점에 가깝고 방음이 잘 되고 다만 에어컨이 쪼금 더러운 건 있지만 겨울에 누가 에어컨을 쓰냐요 다 좋습니다,중립,긍정
침대가 엄청 넓어서 정말 잠만 자는 여행객들한텐 추천입니다 난방기 따로 있는데 안 켜면 개 추워요,부정,중립
어메니티 누가 쓰던 거 그대로 있어서 기분 나빴는데 개인 꺼 챙겨오기도 했고 하룻밤이라 그냥 지나갔어요,중립,부정
방은 아늑한데 창이 크게 있어서 답답하지 않고 방 안에서 담배 냄새 같은데 안 나고 청결하고 깔끔해요 침대 컨디션이 정말 좋아요 적당히 쿠션이 있어서 잠도 잘 잤어요 침구류도 깔끔하고 깨끗해서 기분이 좋았어요 쿠션 좋은 침대에 넷플 디즈니 등등 가 다 나와서 화면 큰 티브이로 보고 싶은 것 맘껏 봤어요 욕실도 크고 넓은데 샤워부스 칸막이 있어서 변기랑 세면대에 물이 튀지 않아서 사용할 때 불편하지 않고 수압도 세서 샤워할 때 기분 좋게 할 수 있어요 거기에 드라이기와 고데기까지 있어서 머리 손질이 용이하네요 여기 주차장이 넓어서 주차 걱정 없이 올수 있어요,긍정,중립
여기만 오는고 같아요 시설 깔끔해요 욕조도 크고 늘 잘 이용하고 있어요,중립,긍정
청결에 엄청 예민한 편이라 매번 여기만 오는 편이에요 이번에도 정말 좋았는데 데스크 사장님 부부 신지 직원분이신지 매번 친절하세요 이번에 한 가지 아쉬웠던 점은 지낸 방 화장실 세면대가 막힌 건지 잘 안 내려가더라고요 양치하고 세수하고 나면 분 정도 뒤에 물이 다 내려가는 정도로 하루 지내고 가는 거라 방 바꾸기도 뭐 해서 그냥 사용했는데 조금 불편했었네요 아 그리고 티브이 밑에 테이블에 먼지가 눈에 보이게 조금 있어서 세면대 물 내림 체크 테이블 청결 한 번씩만 신경 써주시면 좋을 거 같아요,부정,중립
새로 지었는지 시설 정말 좋아요 가구랑 소품들도 예쁘네요 화장실도 깔끔합니다 발코니도 맨발로 다녀도 될 정도로 청소 잘돼있어요 발코니 있어서 그런지 방에서 담배를 안 피워 담배 냄새도 하나 없습니다 근래 가본 숙소들 중 가격 대비 가장 만족합니다,긍정,중립
화장실 방이랑 따로 분리되어 있고 주차장도 넓어서 편해요 가운 비누 충전기 필요하신 분은 데스크에 말씀하고 챙겨가셔야 해요,중립,긍정
이벤트 룸이라 해서 첨가 봤는데 바닥도 따뜻하고 괜찮은데 휴지가 별로 없어가지고 좀 그랬어요 가운도 달라고 해야 준다 그래서 기찬 아서 안 썼고요 그래도 그거 말고는 다 좋았어요,긍정,부정
리뷰에서 좀 낡았다고 해서 조금 걱정이 되긴 했지만 객실에 냉난방 완전 잘 되고 푹 쉬다 갑니다 기본 서비스 물품도 여러 가지 있고요 침대가 넓어서 좋았어요 다음번에 또 이용할게요,중립,긍정
깔끔 그 자체 전주 올 일이 많진 않지만 다시 오게 되면 재방문 꼭 할 거예요,중립,긍정
하는 일이 전국적으로 출장을 다니면서 하는 일이라 모텔에서 많이 잡니다 그렇다 보니 모텔을 고르는데도 나름대로의 노하우가 생겼습니다 우선 회사 차가 크다 보니 주차가 편한 곳을 찾습니다 그다음엔 계속 빨래를 할 수가 없어 스타일러 있는 곳을 선호합니다 피로를 풀 수 있는 안마의자까지 있으면 금상첨화입니다 그다음엔 가끔 시간이 날 때 게임을 할 수 있는가 있으면 좋죠 조식도 먹을 수 있는 데면 더 좋습니다 이런 면에서 전주 마리 호텔 덕진공원점은 조식이 약간 아쉽네요 그래도 가격 대비 괜찮은 곳이라고 생각합니다,긍정,중립
첫째로 수압이 매우 약합니다 제가 사용했던 룸만 그럴 수도 있지만 호 정말 답답하고 씻어도 개운하지 않았어요 좋았던 점은 요즘 숙박업소들이 객실이 넓어 보이기 위해 화장실 벽을 허물고 유리벽으로 하는 경우들이 많은데 이곳은 화장실을 개별적으로 두어서 사생활을 많이 개방하지 않은 커플이나 동성 간의 여행으로써 좋은 것 같습니다,중립,긍정
장점 침대가 삐거덕 대지 않아서 좋습니다 공기청정기 덕분에 좋음 공기 마십니다 아침에 조식이 있습니다 대로변에 있지 않아서 외부 소음에 크게 문제 되지 않습니다 티브이가 큽니다 스타일러가 좋습니다 로비에 커피 및 음료수가 있고 잠시 대기 공간이 있어 좋습니다 아쉬운 점 수건을 사용하고자 하는데 피라고 해야 하나 세탁은 당연히 했지만 색이 안 빠져있어서 좀 더 자세히 보고 채워두셨으면 합니다 화장실 불 켤 때 화장실 불 켠다고 소리가 남,중립,긍정
방은 괜찮은데 화장실이 좀 그래요 화장실 좀 리모델링했으면 좋겠어요,중립,긍정
편안하게 잘 쉬다가 나왔습니다 중문이 있는데도 다른 방 문 닫는 소리가 되게 잘 들리더라고요 그 부분이 조금 아쉬웠습니다 갈 때마다 깔끔하고 편안하게 쉴 수 있는 곳이네요 나중에 또 방문할게요,중립,긍정
정말 정말 정말 아늑하고 포근한 잠자리를 만끽할 수 있어서 너무 감사합니다 사장님의 인심과 너무 만족했네요 항상 이용하면서 사랑을 느끼고 있습니다 항상 파이팅입니다,긍정,중립
전주 큐 모텔은 일단 가성비가 짱입니다 너무 저렴해요 여기 어때 앱의 할인쿠폰까지 더해지면 원대에 숙박 가능해요 이곳 숙박 단지가 전체적으로 오래돼요 외관 및 내장은 오래되어 보이지만 객실에 들어오면 너무 깨끗합니다 방 안 냉장고엔 음료 물 커피믹스 구비되어 있고요 핸드폰 충전기는 층 카운터에서 기종에 맞춰 충전기 달라면 줍니다 사장님이 너무 친절하세요,중립,긍정
간단히 먹을 수 있는 아침 조식 빵과 딸기잼 맛나게 먹으면서 출근했습니다 수고하세요,중립,부정
항상 믿고 오는 전주 마리,중립,긍정
평일이라 주차 편했어요 저녁에는 차가 많더라고요 주변에 편의점도 있고 식당들도 있어요 걸어서 맥도날드랑 스타벅스도 이용 가능해요 금연 숙소라 입실시 담배 냄새 안 났고 보일러 빵빵해서 저희는 좀 더웠어요 화장실도 깨끗하고 수압도 좋고 좁지 않아서 안 답답해서 좋았어요 다만 화장실이 입실하고 몇 시간 지나지 않아 조금 냄새가 나더라고요 디퓨저나 방향제가 있으면 좋을 거 같아요 스타일러랑 행거가 있어서 옷 보관이 좋네요 식탁이랑 의자 있어서 포장해온 거 먹기도 좋았어요 객실도 깨끗한 편이고 좁지 않아서 좋더라고요 화장실에 휴지도 넉넉하게 비치되어서 안심 컴퓨터 사양은 나쁘지 않았어요 흡연은 층 주차장 입구 측면에서 가능해요 전반적으로 깔끔하고 엘베나 객실에서 냄새 안 나고 침구나 매트리스도 편안하고 이불커버 안에 솜도 엄청 뽀얗고 깨끗해서 꿀잠 자기 좋았어요 재방문의 사 숙소 맘에 들어서 하루 더 머물렀답니다,중립,긍정
숙박업소 밀집 지역이라고 해야 하나요 그곳에 위치해 있습니다 옛 건물을 리모델링을 했다고 봤는데 오래된 느낌이 하나도 안 들고 새 건물 같고 굉장히 깨끗해요 방도 적당히 넓고 객실 청소 상태도 굉장히 맘에 들었고 샤워기 수압도 좋았습니다 일층 미니바에도 이것저것 있었는데 미니바 이용을 자주 하시는 분들은 만족하실 것 같았어요 방음도 좋은 편 옆방이나 복도 소음은 전혀 들리지 않았고 딱 하나 위층에서 가구 끄는 소리만 좀 요란하게 들렸네요 스타일러도 있어서 만족스러웠습니다 좋은 여행했어요,중립,긍정
방이 넓고 티브이도 잘 나와서 좋습니다 방바닥이랑 침대 위는 전기장판이 있어서 따뜻하고 좋은데 침대 바로 옆에 창문이 있어서 추워요 창문에 커튼이 없어서 방에 외풍이 심합니다 이불 잘 덮고 자세요,부정,중립
조식이 맛있어요,긍정,중립
건물 외관은 깔끔하고 예뻤고 방 크기도 큰 편이였지만 눈에 잘 안 보이는 부분까지는 청소를 안 하시는 것 같아요 티브이 뒤쪽에 먼지 많이 쌓여있었고 소파가 더러워서 안 앉았습니다 침구류도 오래되어서 그런가 흰색은 아니고 때가 탄 상태였어요 그래도 욕조도 있고 방이 넓어서 좋았습니다,긍정,중립
사진과 같은 커튼이라 창이 완벽히 가려지지 않아 아쉬웠습니다 생각보다 방이 좀 작긴 한데 아늑하고 좋았고요 침구류의 경우 누리끼리해서 조금 별로였습니다 담배 냄새도 조금 났고요 가격 값하는 거 같네요,중립,부정
비가 오는 전주 여행이라 도보여행으로 예약해서 문의하니 자체적인 주차장 이외에 코너만 돌면 유료주차장으로 안내를 해주셨습니다 차량번호 알려드리고 이용객은 무료로 이용 가능한 넓은 주차장이 있다는 게 큰 장점이었어요 들어가자마자 스타일러가 있어서 너무 좋았고 무엇보다 침대 배게 다른 종류 가지는 정말 세심하다고 느꼈습니다 욕조 앞 빔 프로젝터로 분위기도 좋아지고 아늑해서 방 이름 그대로 화기애애한 것 같습니다 조금 아쉬운 점은 화장실 하수구에서 점점 냄새가 올라와서 아침에도 지속되었다는 점 제외하면 너무 완벽한 숙소였습니다,중립,긍정
그냥 보통,부정,중립
갈 때마다 만족 하구 갑니다 다음에 또 이용할게욥,중립,긍정
아침에 온수가 안 나와서 차가운 물로 머리 감았어요,부정,중립
전주는 참 자주 오는데 오늘은 술을 한잔해야 하기에 신시가지에서 숙소를 잡았다 그렇게 가게 된 전주 음 리뷰는 솔직하게 써야 하는 것이 나만의 소박한 철칙이라 생각한다 사실 나의 리뷰가 얼마나 많은 사람에게 도움이 되고 큰 영향을 주겠냐마는 그래도 철칙을 지켜 오랫동안 솔직하게 쓰다 보면 그래도 많은 사람들에게 도움을 줄 수 있지 않을까 생각한다 다시 리뷰를 작성하자면 술을 많이 먹어서 들어간 기억은 없고 아침에 상당히 개운하게 일어났다 술에 취해 기억이 없던 것이 아니라 낯선 곳에 긴장할 필요 없이 숙소가 안전하고 아늑하며 내 집 같았던 것 아닐까 좋았던 것 같다,중립,긍정
저렴한 모텔 중에 베란다 있고 스타일러 있어서 종종 이용해요 여행 자주 오는데 여긴 거의 번째 방문인 거 같아요 청결도 도 가격 생각하면 나쁘지 않습니다,중립,부정
갑작스러운 전주 여행이었습니다 약속 장소 근처의 여러 숙소를 검색해 보았는데 대부분 게스트하우스라서 숙소를 선택하는데 어려움이 있었습니다 오랜 고민 끝에 하루 자는 거 저렴한 숙소를 선택하자는 생각으로 전주관광호텔을 선택하게 되었습니다 객실은 허름한 모텔 수준입니다 티브이는 작은데 넷플릭스는 시청 가능합니다 연인끼리 오기에는 비추이지만 가성비는 괜찮습니다,중립,긍정
다른 곳 일반실 비해 크고 깨끗하게 정돈되었네요,긍정,중립
나쁘지 않아요 또 이용할 계획이에요,중립,부정
나와있는 사진 그대로 똑같이 깔끔하고 세련된 느낌을 받음,중립,긍정
저렴해요 하루 숙박할 만합니다,중립,긍정
침대가 진짜 정말 편해요 잠 잘 옵니다 방도 깨끗하고 화장실도 깔끔,중립,긍정
일단 방음이 너무 좋았고 연방했는데 일 일 머무르고 싶을 정도로 청결상태도 너무 좋았습니다 화장실 문을 열 때 천장에 엄청 큰 소리가 나서 좀 깜짝 놀라기는 했는데 그거 말고는 화장실도 너무 깔끔했고 이틀 동안 편하게 있다가 갔습니다,중립,긍정
위치 전북 전주시 우아동 아중지구 주차장 매우 넓음 로비 매우 친절 객실 청결 상태 매우 깨끗 넷플릭스 유튜브 디즈니 냉장고 물 음료 커피 방 크기 보통 뷰 씨티뷰 먹을거리 분 내에 너무너무 많음 아쉬운 점 없음 재방문 의사 무조건 방문 조식 삼립 빵 한강 라면 유료 총평 출장 고객입니다 카운터 직원분 너무 예쁘고 친절하셔서 감사했습니다 오랜만에 방문했는데 한강 라면 이 유료로 바뀌었네요 아쉽습니다,긍정,중립
저렴한 거에 비해 괜찮아요 많이 좁지도 않고 보통이에요,부정,중립
싸고 좋습니다 침대 장판도 있고 에어 드레 서있고,중립,긍정
가본 숙소 중에 제일 특색 있고 감성 있고 깨끗했어요 이색적인 숙소 원하는 분들은 여기서 머물다 가시면 참 좋을 것 같아요 침대가 푹신푹신하니 잠도 아주 잘 오고 음식도 맛있었습니다,중립,긍정
이중문이 아니라 복도 소리가 좀 많이 들립니다 다른 건 좋습니다,긍정,중립
일단 사장님이 친절하게 잘 대해주셔서 편하게 방까지 잘 갔습니다 저는 베그 룸을 사용했는데 렉도 없이 너무 잘 돌아가는 컴퓨터여서 피시방 이상 정도로 만족했습니다 방은 깨끗해서 불편함이 없었고 방음도 되게 잘됩니다 특히 침대가 오후 눕자마자 잠이 오는 침대라 잠도 푹 잤습니다 저는 전주 시외버스터미널 근처 숙소를 잡는다면 다시 올 정도로 만족도가 높습니다,부정,중립
즐겁게 잘 묵었네요,긍정,중립
지난번처럼 춥진 않았는데 난방이 살짝 약한듯해요 그래도 항상 잘 이용하고 있습니다,부정,중립
객실 및 욕실 모두 깨끗했으나 방음이 안되네요,중립,부정
월 성수기 연휴에 급하게 예약하고 이용한 거라 가격을 많이 비싸게 이용했네요 추가 인원 비용까지 해서 명에서 만 원대면 좀 많이 비싸게 느껴지네요 모텔 리모델링한 호텔 느낌이고 밖을 볼 수 있는 창이 없어서 답답했어요 침구는 깨끗하고 포근해서 잘 잤어요,부정,중립
침대가 너무 푹신푹신해서 꿀잠 자고 퇴실 시간 겨우 맞춰서 나갔어요 오래된 느낌이 있긴 하지만 깨끗해서 좋았고요 시내에 위치해서 더욱 좋았어요,중립,긍정
침대 시트에 불 그리고 내부는 깨끗했어요 조명이 좀 맘에 안 들긴 했음,부정,중립
숙소 위치랑 내부 깔끔 한 건 맘에 들었는데 주차장 잘 주차해놨는데 키 맡기는 부분에서 설명이 잘 안돼서 답답했어요 키 안 받았는데 사장님께서 키 주신 줄 착각해서 여러 번 얘기했네욥 다른 건 다 괜찮았어요,부정,중립
오늘 처음 방문인데 흠잡을 때 없이 너무 괜찮았습니다,긍정,중립
침대가 정말 커서 너무 좋았어요 더블인데도 침대엔 명은 누늘 수 있겠더라고요 잘 쉬다 갑니다,중립,긍정
자주 방문하는 곳입니다 청결하고 나쁜 부분이 없어요 여기가 순위예요,긍정,중립
김제 출장이 잡혀있었으나 김제에 마땅한 숙소가 없어 전주에서 박을 하게 되었습니다 다만 조식이 되는 줄 알고 있었으나 조식이 되지 않아 아쉬움이 있었습니다 방은 리모델링을 하여 깔끔하였으나 동료의 방에서 바퀴가 나와 찝찝함을 감출 수 없었습니다,부정,중립
트윈을 선택했는데 업그레이드되었네요 스타일러스 있어서 옷 털기 좋네요 공기청정기 설치되어서 청정하고 좋네요 담배 냄새나는 호텔도 있던데 담배 냄새 없고 최상입니다 내부는 세면대와 욕실 화장실 분리되어서 아주 사용하기 좋습니다 주차는 호텔 앞에 외부 주자장 있어서 주차하기 좋습니다 지하는 작아서 외부 주차가 좋늡니다 숙박 고객에게는 조식도 제공되네요 고객에게 전주혁신도시 최고의 호텔입니다,중립,긍정
멋진 한옥 뷰를 볼 수 있는 숙소입니다,중립,부정
저렴해서 좋았던 거 같아요 바로 앞에 편의점도 있고 위치는 너무 좋아요 다만 너무 아쉬웠던 건 방음이 안되는 거랑 티브이 위치였어요 방음이 거의 안 되고 티브이가 왼쪽에 있어서 목이 너무 아팠어요 그래도 기분 좋게 이용했습니다,긍정,중립
전기장판이 없었는데 굉장히 따뜻했습니다 그만큼 난방이 좋다는 거겠죠 그리고 주차장도 넓어서 주차하는데 무리가 없었습니다 티브이도 크고 뭐 불편한 점을 찾는 게 힘드네요 앞으로도 관리 잘해주세요,중립,긍정
전주 한옥마을까지 위치도 좋고 가는 길에 로데오거리처럼 맛집 구경거리가 많아서 좋았습니다 엘리베이터가 진짜 빨라서 금방 이동할 수 있습니다 호텔 앞에 편의점도 있어요 수압도 강해서 아주 좋습니다 한 가지 아쉬운 점은 진짜 추워요 난방이 침대 다리 쪽 위에 있어서 온도와 바람을 높이면 눈이 건조해지고 소리가 커서 자는 데 조금 불편했습니다,부정,중립
자주 애용합니다 여름 다가와서 에어컨 청소도 한번 싹 하시면 좋을 것 같아요,긍정,중립
시설 청결 서비스 친절도까지 최곱니다,부정,중립
평소 청결을 중시하는 편이라 브라운 도트 예약하고 싶었는데 브라운 도트 가격이 저렴한 편이 아니어서 다른 더 저렴한 곳 이용하다 사 이번에 특가로 나왔길래 이용해 봤네요 청결도 너무 좋고 객실 욕실 모두 깨끗하고 잘 쉬다 갑니다,중립,긍정
일반실 사용하려다가 특실에는 안마의자도 있다고 하셔서 금액 추가해서 특실 사용했어요 안마의자 처음 써보는데 진짜 시원하더라고요 인테리어도 되게 깔끔했고 공기청정기랑 에어 드레서도 있어서 되게 신기했어요 냉장고도 일반 모텔 냉장고처럼 작은 거 아니더라고요 뭣보다 티브이 보는 거 좋아하는데 티브이 짱커서 완전 만족 다음에 올 일 있으면 무조건 특실로 예약해야겠어요 최근에 사용해 본 숙소 중에 제일 맘에 들었어요,중립,부정
벌써 몇 번째 예약인지 모르겠어요 북대는 여기밖에 안 갑니다 겨울에 그냥 쉬러 가기도 딱인 게 침대마다 매트 있는 게 진짜 짱입니다 밖에 추운데 들어가면 너무 행복해요 와이 케이 짱 담에 또 갈게요,부정,중립
주로 일 끝나고 저녁시간에 대실을 하는데 여기는 늦게까지 대실을 할 수 있어서 좋았어요 객실에서 냄새도 전혀 안 나고 깨끗해요 화장실 미끄러운 곳도 많은데 여긴 그러지 않아서 좋았어요 앞으로도 자주 이용할게요,중립,긍정
주차장이 넓어서 편하고요 방은 적당한 사이즈 방음은 중간 정도 되는 거 같고요 잘 쉬다 갑니다,긍정,중립
주차 은근 빡셈 수건이 작은 수건만 있어서 아쉬움,부정,중립
덕진공원 인접한 곳으로 식당 편의점 가깝습니다,긍정,중립
친절하시고 시설도 깔끔하니 아주 만족했네요 다만 약간 담배 냄새가 조금 나서 환기 좀 시켰습니다 그거 말고는 전부 만족스러웠네요,긍정,중립
일단 리뷰를 잘 안쓰는데 여기는 꼭 써야 할거같아서 씁니다 제가 이 인근 모텔호텔 다 가봤는데 그 중 단연 등입니다 사장님이 정말 친절하십니다 사소한거 하나하나 신경 써주신게 느껴질만큼 룸 상태가 이 인근 통틀어서 제일 좋습니다 침대 상태 티비 방크기 화장실 등등 인치로 정말 영화관이 따로없습니다 이렇게 큰 를 모텔호텔에서 본적이 없었어요 방음이 정말 잘됩니다 창문도 일반 창문이 아닌 이중창으로 되어있어서 그런가 주변 소음이 하나도 없이 푹 잤습니다 침대 상태 보통 저렴한 곳이나 인근에 있는 곳을 가면 침대가 거기서 거기지 했는데 여기 매트리스는 높고 냄새도 안나고 일반 전기 장판이 아니라 온수장판을 사용하셔서 진짜 너무 너무 좋았습니다 편의점 위치나 교통편 바로앞에 랑 가 있고 분 거리에 올리브영도 있어서 정말 편했습니다 좋았던 것들이 한 개 정도 되는데 제일 좋았던 것들을 추려봤습니다 이 인근 정말 많은 숙소 다녀봤는데 이 숙소로 정착 할거 같습니다 사장님이 주년이라고 갈때 수제 초코파이를 한박스씩 선물로 주셨는데 너무너무 감사드리고 번창하셨으면 좋겠습니다,중립,긍정
스타일러가 있어서 좋았지만 전체적으로 오래된 느낌의 모텔이에요 급하게 잡은 방이라 세심하게는 못 봤는데 막상 들어가니 눈에 보이는 셋탑박스에 먼지가 가득이더라고요 물 마시려고 냉장고 문 여는데 냉장고에서 찌든 냄새가 나서 놀랬어요 창문이 아닌 베란다 형식으로 되어있어서 문을 닫아도 서늘한 바람이 들어와요 전기장판이 잘되어 있어서 따뜻하게 잘 잤어요 수압도 괜찮고 따뜻한 물도 잘 나옵니다 다만 오래된 곳이라 낡은 느낌은 어쩔 수 없네요 급하게 묵는 거 아니면 굳이 다시 찾진 않을 것 같아요,부정,중립
전주역에서 내려오면 금방인 위치 주변에 식당도 있고 편의점도 있고 마트도 있어 좋습니다 리모델링하고 얼마 안 되었는지 깨끗하고 깔끔합니다 방 널찍하고 화장실도 큽니다 부대시설 많습니다 지하 층에 만화방 노래방 헬스 콘솔 등등할 수 있는 시설이 있고 층에선 시경부터 제공한다네요 보긴 했는데 이용은 안 했습니다 난방은 조금 아쉬웠습니다 요즘 날씨 추운 것도 있지만 방은 종 서늘했던 거 같습니다 전기장판 있고 온수 잘 나오고 수압 좋은 화장실이라 좀 나았습니다,부정,중립
좋아요 티브이도 크고 침대도 크고 에어컨도 시원해서 너무 좋았어요 충전도 잘 되고 근데 화장실 불이 하나가 나갔는지 어두웠어요 전구는 좀 갈아 안될 거 같아요 시간이라 시간 여유도 길고 다음에 또 이용하고 싶어요,중립,긍정
주차장이 있어 주차 편히 했어요 음식은 웬만한 곳 매 민권이라 좋습니다 친절한 응대와 방 배정 받았습니다 객실 문을 열고 들어갈 때 제일 먼저 맡게 되는 게 냄새인데 쾌적했어요 비흡연자라 담배 냄새에 좀 민감한 편이거든요 시트와 커버는 청결했어요 화장실도 깨끗했어요 샴푸린스 보디워시가 비치되어 있고 일회용품 가방도 있어서 불편 없이 이용했어요 넓은 와 스타일러가 있어 좋았습니다 주차 냄새 청결 섭수 재방,긍정,중립
이번 여행도 잘 쉬다 갑니다,중립,긍정
깔끔 조용했습니다 다만 퇴실 시는 좀,중립,긍정
자주 이용해요 간단히 쉬기 좋습니다 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따 조아따조아따조아따조아따조아따조아따조아따조아따,긍정,중립
